Timestamp,Ax,Ay,Az,P,LPFRMSAcc,LPFPValue,Value,Detection,Type
65.72,0.74122417,3.15775466,9.356005669,990.7142944,9.865736898,990.73167,0,0,
65.76,0.956295133,3.331734657,9.386776924,990.7041016,9.867056269,990.7314875,0,0,
65.8,0.791371703,3.210187674,9.005656242,990.7294312,9.867236916,990.7313183,0,0,
65.84,0.741163492,3.176822424,9.173726082,990.739502,9.866925757,990.7311979,0,0,
65.88,0.829569578,3.222105503,9.543006897,990.734314,9.867512886,990.7311023,0,0,
65.92,0.853448391,3.13869071,9.370200157,990.762146,9.868215904,990.7311291,0,0,
65.96,0.934684873,3.238788843,9.538269043,990.711792,9.869730624,990.7310827,0,0,
66,0.982462645,3.338887453,9.322852135,990.7243652,9.871362785,990.7310171,0,0,
66.04,0.953763604,3.267389536,9.545367241,990.7520142,9.873750732,990.7310343,0,0,
66.08,0.968082666,3.326972008,9.585607529,990.7167358,9.8770087,990.7309976,0,0,
66.12,0.984791756,3.367488146,9.334681511,990.7319336,9.880230358,990.7309681,0,0,
66.16,0.903514981,3.200659275,9.512219429,990.7595825,9.883784836,990.7310445,0,0,
66.2,0.934563398,3.18397665,9.663719177,990.7242432,9.888127169,990.7310872,0,0,
66.24,0.934543133,3.174444199,9.254191399,990.7293701,9.891747764,990.7311182,0,0,
66.28,0.917793632,3.141078711,9.079016685,990.7191772,9.89407938,990.7311023,0,0,
66.32,0.922553182,3.167295218,8.918045998,990.7369995,9.894752042,990.7311089,0,0,
66.36,0.843666196,3.045748472,9.14292717,990.7116089,9.8945508,990.7310442,0,0,
66.4,0.75812006,3.021903753,9.275536537,990.7142944,9.893977861,990.7309262,0,0,
66.44,0.705542207,3.100551844,9.081425667,990.7167358,9.892492603,990.7307704,0,0,
66.48,0.710322022,3.219716072,9.116932869,990.7191772,9.890468614,990.7305906,0,0,
66.52,0.688812912,3.284064531,9.057753563,990.7242432,9.887848074,990.7304085,0,0,
66.56,0.64579463,3.331730127,9.071955681,990.7191772,9.88480577,990.7302066,0,0,
66.6,0.519129872,3.229249239,9.616412163,990.762207,9.883098953,990.730143,0,0,
66.64,0.459382355,3.181583643,9.488583565,990.7193604,9.882077598,990.7300476,0,0,
66.68,0.554978371,3.274531364,9.292105675,990.7393188,9.881123782,990.7299962,0,0,
66.72,0.660134137,3.274531603,9.30867672,990.706665,9.88031252,990.7298663,0,0,
66.76,0.691202819,3.286447763,9.060120583,990.6813965,9.878811631,990.7295766,0,0,
66.8,0.676863372,3.36032939,8.804462433,990.7419434,9.875935245,990.7293648,0,0,
66.84,0.61233604,3.353179693,9.036448479,990.7470093,9.872608951,990.7292406,0,0,
66.88,0.629065394,3.460427046,9.008041382,990.7092896,9.868941593,990.7290587,0,0,
66.92,0.61233604,3.560524702,8.99857235,990.7293701,9.865081154,990.7288986,0,0,
66.96,0.574097633,3.536692142,9.287371635,990.7518311,9.861992151,990.7288392,0,0,
67,0.516739964,3.615340233,9.121666908,990.6965942,9.859131709,990.7286703,0,0,
67.04,0.547808766,3.70352149,8.884947777,990.7116699,9.855820733,990.7284593,0,0,
67.08,0.593216777,3.72973752,9.11219883,990.7142944,9.852923961,990.7282215,0,0,
67.12,0.61233604,3.846518278,8.648226738,990.7166138,9.849039322,990.7279691,0,0,
67.16,0.554978371,3.803619146,9.147706032,990.7394409,9.845871316,990.727787,0,0,
67.2,0.56692791,3.777403355,9.377325058,990.7294312,9.844078487,990.7276315,0,0,
67.24,0.715101838,3.932316303,9.230559349,990.7216797,9.843267023,990.7274723,0,0,
67.28,0.746170521,3.898950338,9.289738655,990.7242432,9.84348277,990.7273195,0,0,
67.32,0.695982575,3.932316303,9.02934742,990.729248,9.843779751,990.727191,0,0,
67.36,0.591013312,3.865579605,9.119317055,990.756897,9.844325178,990.727184,0,0,
67.36,0.591013312,3.865579605,9.119317055,990.756897,9.844325178,990.7272843,0,0,
67.44,0.767873526,3.956144094,9.412851334,990.7417603,9.846228884,990.7274246,0,0,
67.48,1.611516476,4.728325844,9.978613853,990.7141113,9.852637535,990.7275002,0,0,
67.52,0.873044372,4.099140644,9.142992973,990.6937866,9.859038825,990.7274452,0,0,
67.56,0.471556187,4.189704418,8.884968758,990.729248,9.866321337,990.7274026,0,0,
67.56,0.471556187,4.189704418,8.884968758,990.7216797,9.866321337,990.727344,0,0,
67.64,0.471563697,4.149188519,8.849461555,990.7242432,9.869000108,990.7272806,0,0,
67.68,0.500250101,4.034790993,9.071977615,990.729126,9.871627549,990.7272307,0,0,
67.72,0.414221227,4.027641296,8.518054008,990.7015991,9.872364219,990.727094,0,0,
67.76,0.380770206,4.254052639,8.319209099,990.6964722,9.871140149,990.7268624,0,0,
67.8,0.301911056,4.187320232,8.421000481,990.7444458,9.868396528,990.7267207,0,0,
67.84,0.373615742,4.099139214,8.705064774,990.7216797,9.865111002,990.7265769,0,0,
67.88,0.497898221,4.316016674,8.45887661,990.7242432,9.860927311,990.726441,0,0,
67.92,0.562433124,4.41611433,8.617480278,990.7368164,9.856649285,990.7263578,0,0,
67.96,0.631747842,4.480463028,8.617480278,990.7341919,9.852424696,990.7263121,0,0,
68,0.753640413,4.511445522,8.667191505,990.729248,9.848503359,990.7262818,0,0,
68.04,0.763207674,4.306483269,9.365517616,990.7166138,9.846794895,990.7262197,0,0,
68.08,0.674788833,4.344615459,8.97256279,990.7091064,9.845807642,990.7261029,0,0,
68.12,0.622218609,4.230217457,8.896813393,990.7242432,9.845025728,990.7259925,0,0,
68.16,0.564868569,4.256433964,8.842368126,990.7114258,9.844279794,990.7258421,0,0,
68.2,0.58638525,4.170635223,8.813961983,990.7293701,9.843347945,990.7257214,0,0,
68.24,0.954437733,4.528127193,9.363154411,990.7467041,9.844688011,990.7256899,0,0,
68.28,0.54099226,4.344614506,9.180880547,990.7114258,9.84704817,990.7256103,0,0,
68.32,0.330688536,4.320781231,8.447048187,990.7191772,9.847861699,990.7255163,0,0,
68.36,0.373714328,4.449478149,8.889716148,990.7213745,9.848941364,990.7254179,0,0,
68.4,0.057940125,4.265973568,8.830507278,990.7391968,9.849744821,990.7253802,0,0,
68.44,0.065104783,4.292189598,8.622193336,990.7242432,9.849669735,990.7253423,0,0,
68.48,-0.011377126,4.249290466,9.079062462,990.7492065,9.850231942,990.7253942,0,0,
68.52,0.086603761,4.249290943,9.313414574,990.7368164,9.852122387,990.7254808,0,0,
68.56,-0.008997351,4.132510662,8.918091774,990.7190552,9.853709694,990.7255338,0,0,
68.6,0.045965314,4.189709663,8.991475105,990.7241211,9.855350155,990.725575,0,0,
68.64,0.060299635,4.08961153,8.837605476,990.7242432,9.856377789,990.7256062,0,0,
68.68,-0.157186463,3.927549124,8.965435028,990.7467041,9.857044135,990.7257093,0,0,
68.72,-0.154801622,3.867967367,8.842339516,990.7138062,9.856896806,990.7257571,0,0,
68.76,-0.224113822,3.755953312,9.024614334,990.6989746,9.856481082,990.7257025,0,0,
68.8,-0.085504562,3.789319277,8.974902153,990.7366333,9.855703193,990.7256931,0,0,
68.84,-0.01620248,3.803619146,9.057753563,990.7440796,9.854901661,990.7257506,0,0,
68.88,-0.075955093,3.724971056,9.10746479,990.7318726,9.854140049,990.725823,0,0,
68.92,0.053094566,3.751187086,9.412833214,990.7317505,9.854470619,990.7259078,0,0,
68.96,-0.030557066,3.806002378,8.951228142,990.7116699,9.854303173,990.7259311,0,0,
69,-0.092699572,3.815535784,9.071955681,990.7265015,9.854111346,990.7259533,0,0,
69.04,-0.190690607,3.865585089,8.674263954,990.7366333,9.85266173,990.7260109,0,0,
69.08,-0.224154294,3.939466715,8.745280266,990.7091064,9.850450551,990.7260005,0,0,
69.12,-0.312585741,3.867968321,9.268431664,990.7264404,9.849208001,990.7259924,0,0,
69.16,-0.23133412,3.944233179,9.197415352,990.7141113,9.848689441,990.7259421,0,0,
69.2,-0.205050275,4.041947842,8.981999397,990.7264404,9.848242021,990.725899,0,0,
69.24,-0.269582689,3.944233656,9.133500099,990.7492676,9.848221684,990.7259446,0,0,
69.28,-0.33172518,3.891801596,9.074318886,990.7166748,9.848315384,990.725951,0,0,
69.32,-0.095129937,4.051481247,8.939388275,990.7163696,9.848278601,990.7259218,0,0,
69.36,0.050649017,4.082464218,9.159537315,990.7520752,9.848894065,990.7259897,0,0,
69.4,0.131741196,4.106300831,8.70975399,990.7391357,9.848650236,990.7260966,0,0,
69.44,0.115000486,4.09438467,8.809175491,990.7241211,9.847953191,990.7261834,0,0,
